workflow,quality_level,query_count,calibration_scenarios_per_query,test_scenarios_per_query,calibration_scenario_count,test_scenario_count,method,status,reused_last_feasible,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,error,process_exitcode,budget_factor
workflow1,Q2,1000,50,50,50000,50000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.500564958029303,81.73693755154312,166.1752967214551,245.22752556776413,0.08418,129.7907010000199,324.85602409997955,4409.1328125,2,12500,0.25,"[[""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0,1.1
workflow1,Q3,100,50,50,5000,5000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,6.818779867603676,177.78864925057363,502.24983357421274,929.7753916630934,0.0928,6.036251500016078,40.300393100013025,887.0078125,2,1250,0.25,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow1,Q3,200,50,50,10000,10000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,6.9566671671667875,190.92551404595676,533.2477215113659,989.2551908014163,0.112,13.289766100002453,63.28904639999382,1281.91015625,2,2500,0.25,"[[""Q/A"", ""q_a_azure_eastus_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_azure_eastus_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow1,Q3,300,50,50,15000,15000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,7.076061401941862,182.6342452433875,503.49675965016996,924.8794648590207,0.09213333333333333,19.813679500017315,83.67837650002912,1662.9140625,2,3750,0.25,"[[""Q/A"", ""q_a_aws_eu-central-1_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_eu-central-1_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow1,Q3,400,50,50,20000,20000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,7.006848996798284,181.21504639254323,499.30113393488904,920.2270743449086,0.0922,27.142497700056992,100.80528149998281,2062.30859375,2,5000,0.25,"[[""Q/A"", ""q_a_aws_eu-central-1_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_eu-central-1_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow1,Q3,500,50,50,25000,25000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,7.03774212517053,181.62762787447375,502.1327838777329,915.6889915017929,0.09272,46.97414249996655,131.21431920002215,2461.64453125,2,6250,0.25,"[[""Q/A"", ""q_a_aws_eu-central-1_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_eu-central-1_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow1,Q3,600,50,50,30000,30000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,6.898481043637637,177.9334471315415,496.0332325171961,900.6125256167746,0.09336666666666667,60.8813110999763,148.32334070000798,2859.2578125,2,7500,0.25,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow1,Q3,700,50,50,35000,35000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,6.954645238568537,179.27625171064497,499.40878983180664,912.1239160658063,0.09245714285714286,55.30055139993783,174.70850329997484,3247.39453125,2,8750,0.25,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow1,Q3,800,50,50,40000,40000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,7.058055202634206,181.80330761895263,505.07994814540234,922.8412450053643,0.09305,123.08772189996671,259.266208200017,3636.515625,2,10000,0.25,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow1,Q3,900,50,50,45000,45000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,7.026173786861672,181.14256052677297,504.72264945997597,914.5840576434099,0.09273333333333333,64.48849849996623,197.2242680999916,4016.23828125,2,11250,0.25,"[[""Q/A"", ""q_a_aws_ap-southeast-1_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow1,Q3,1000,50,50,50000,50000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,7.039372338256765,181.5937484405711,505.6431839496063,917.9993294184172,0.09256,193.1161390999332,336.22878800006583,4434.55078125,2,12500,0.25,"[[""Q/A"", ""q_a_aws_us-east-2_q3""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q3""], [""Video Caption"", ""video_caption_aws_us-east-2_q3""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q3""]]",,0,1.1
workflow2,Q1,100,50,50,5000,5000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.171024927214474,67.86374223648559,105.9791257084574,128.6189194998696,0.0348,96.67082709993701,213.55086519999895,2209.6953125,3,1431,0.2862,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q1,200,50,50,10000,10000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.1283042212025785,66.04514887821436,104.25563315541969,126.20101681649774,0.0353,184.44270699995104,407.7294624999631,3933.02734375,3,2816,0.2816,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q1,300,50,50,15000,15000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.113741902558328,66.83595670191343,108.2987146642496,133.68237533431898,0.049133333333333334,269.9070179000264,586.4494992000982,5666.7890625,3,4265,0.2843333333333333,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_aws_ap-southeast-1_q1""], [""Q/A"", ""q_a_anthropic_global_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q1,400,50,50,20000,20000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.1091580668158145,65.23059228827098,104.8353338816397,126.6201971679424,0.03915,395.9020793000236,832.6301395000191,7355.3125,3,5654,0.2827,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q1,500,50,50,25000,25000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.0977087484467645,64.744263727415,104.71597017752067,126.94670860938788,0.03924,532.6006457998883,1079.9504749999614,9124.0078125,3,7482,0.29928,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_aws_eu-central-1_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q1,600,50,50,30000,30000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.090336614896253,64.48722174599452,104.75623113194777,127.41531186542512,0.03916666666666667,718.9910648999503,1370.8943200999638,10808.13671875,3,8393,0.27976666666666666,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_eu-central-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q1,700,50,50,35000,35000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.0873841759761755,64.32253848480214,104.43018689837476,126.96184606275426,0.04011428571428571,767.9900864999508,1528.1921819999116,12500.72265625,3,9926,0.2836,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q1,800,50,50,40000,40000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.0883174891095533,64.89288726034538,105.62911441000263,128.14933557026552,0.043475,880.4357811999507,1734.4771692999639,14151.859375,3,12000,0.3,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_aws_us-east-2_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_azure_eastus_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q1,900,50,50,45000,45000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.0898828949766353,64.50027489058901,104.44048368768875,126.86940202762912,0.041155555555555556,895.1574452000204,1690.8120188000612,15950.6484375,3,12838,0.28528888888888887,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q1,1000,50,50,50000,50000,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,2.092371770563609,64.52322983674084,104.21112872908516,126.77707116122538,0.04012,1043.2275514998473,1993.5440811000299,17562.9609375,3,14272,0.28544,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-west-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,1.1
workflow2,Q2,100,50,50,5000,5000,decomposition,OPTIMAL,False,3.895954805013236,3.901213671621532,121.39973198307455,263.78248498219983,407.7515672919446,0.0,29.885419399943203,83.97601980005857,1439.75,1,1000,0.2,"[[""Database"", ""database_aliyun_cn-beijing_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-beijing_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0,1.1
workflow2,Q2,200,50,50,10000,10000,decomposition,OPTIMAL,False,3.88511313356805,3.8911401591746464,120.69283196225474,261.5128290613125,404.762524373798,0.0,73.13190379994921,166.7643240999896,2474.2421875,1,2000,0.2,"[[""Database"", ""database_aliyun_cn-beijing_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_anthropic_global_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-beijing_q2""], [""Video Caption"", ""video_caption_aws_ap-southeast-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0,1.1
workflow2,Q2,300,50,50,15000,15000,decomposition,OPTIMAL,False,3.873037693795005,3.8749803434513774,118.86165869818022,253.62901639260113,389.27559447430264,0.0,114.0429007000057,252.74072590004653,3545.11328125,1,3000,0.2,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_azure_eastus_q2""], [""Q/A"", ""q_a_aws_us-east-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_azure_eastus_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0,1.1
workflow2,Q2,400,50,50,20000,20000,decomposition,OPTIMAL,False,3.805378235429953,3.805766859868544,110.09921051225366,236.14882345744618,352.8455475662554,0.0,156.7518359000096,332.6622670000652,4605.30859375,1,4000,0.2,"[[""Database"", ""database_aliyun_cn-shanghai_q2""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q2""], [""OCR"", ""ocr_aws_ap-southeast-1_q2""], [""Q/A"", ""q_a_aws_us-east-2_q2""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q2""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q2""], [""Video Caption"", ""video_caption_aws_eu-central-1_q2""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q2""]]",,0,1.1
